<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
ROSN,D,20130812,000000,233.2600000,235.7200000,232.2900000,234.9600000
ROSN,D,20130813,000000,235.4000000,239.2900000,235.1900000,237.0000000
ROSN,D,20130814,000000,237.0000000,238.8000000,236.0100000,237.8800000
ROSN,D,20130815,000000,238.0900000,239.7900000,232.4000000,232.8200000
ROSN,D,20130816,000000,233.9600000,234.4000000,229.0000000,230.7600000
ROSN,D,20130819,000000,230.7600000,232.5000000,229.1100000,230.2600000
ROSN,D,20130820,000000,229.0000000,229.3100000,226.5100000,227.5000000
ROSN,D,20130821,000000,227.7800000,229.7100000,226.0500000,229.1000000
ROSN,D,20130822,000000,227.8000000,235.9100000,227.6100000,234.3900000
ROSN,D,20130823,000000,234.3300000,237.9000000,233.0600000,234.9900000
ROSN,D,20130826,000000,236.1800000,236.8500000,234.5100000,235.2000000
ROSN,D,20130827,000000,234.5100000,236.9700000,232.4000000,234.2700000
ROSN,D,20130828,000000,234.2700000,239.2900000,230.5000000,238.8800000
ROSN,D,20130829,000000,238.9800000,243.7500000,238.9000000,243.1100000
ROSN,D,20130830,000000,242.9300000,249.5600000,242.6500000,246.3300000
ROSN,D,20130902,000000,246.0000000,247.7700000,243.8200000,244.2200000
ROSN,D,20130903,000000,243.9900000,246.8500000,243.9900000,245.3900000
ROSN,D,20130904,000000,245.2000000,249.2900000,243.8100000,249.0200000
ROSN,D,20130905,000000,249.6500000,260.4800000,248.8100000,259.7500000
ROSN,D,20130906,000000,259.8400000,268.0000000,258.8600000,263.9800000
ROSN,D,20130909,000000,264.5400000,269.5600000,262.1700000,263.0000000
ROSN,D,20130910,000000,263.2000000,263.9000000,255.3700000,258.0100000
ROSN,D,20130911,000000,258.0000000,259.9300000,255.4000000,255.7500000
ROSN,D,20130912,000000,257.1100000,258.7900000,254.2000000,258.4700000
ROSN,D,20130913,000000,257.8700000,260.2400000,256.1200000,258.1200000
ROSN,D,20130916,000000,259.1000000,265.7200000,259.1000000,263.4900000
ROSN,D,20130917,000000,262.8300000,265.3900000,261.3000000,265.3900000
ROSN,D,20130918,000000,265.0300000,265.9400000,262.2800000,262.8100000
ROSN,D,20130919,000000,267.7700000,270.2000000,263.1100000,265.9800000
ROSN,D,20130920,000000,264.5500000,265.2000000,262.2000000,262.8000000
ROSN,D,20130923,000000,263.0000000,263.0500000,257.6500000,262.4500000
ROSN,D,20130924,000000,259.2300000,260.7500000,256.8900000,259.6700000
ROSN,D,20130925,000000,259.6700000,262.3600000,258.2900000,262.0500000
ROSN,D,20130926,000000,262.3000000,264.6500000,260.9200000,263.6800000
ROSN,D,20130927,000000,263.6800000,266.7800000,262.2000000,265.3000000
ROSN,D,20130930,000000,264.3300000,264.3400000,261.3000000,263.7100000
ROSN,D,20131001,000000,263.3000000,264.5500000,261.8000000,263.5000000
ROSN,D,20131002,000000,263.8900000,264.1000000,259.3500000,260.2500000
ROSN,D,20131003,000000,261.2000000,262.3000000,259.5500000,260.0500000
ROSN,D,20131004,000000,260.0400000,262.9900000,258.5800000,262.1900000
ROSN,D,20131007,000000,261.5300000,262.8000000,260.2000000,262.0900000
ROSN,D,20131008,000000,261.3100000,264.2700000,261.3100000,264.0000000
ROSN,D,20131009,000000,262.5200000,265.6800000,262.1000000,262.9800000
